,Unnamed: 0,no,id,created,created_time,updated,updated_time,content,voteup_count,comment_count,question,author
1410,1410,1,67489010,2015-10-13 09:22:25,1444699345,2015-10-13 09:22:25,1444699345,我能说是因为分类后还是被垃圾车无差别的收走么⋯⋯,0,0,"{'type': 'question', 'id': 28997957, 'title': '为什么垃圾分类投放在中国进行得不如日本等国家好？', 'question_type': 'normal', 'created': 1427163044, 'updated_time': 1446433172, 'url': 'https://www.zhihu.com/question/28997957', 'relationship': {}}","{'id': 'd0dbe28894f0ba2a34091d91c6dd6b8c', 'url_token': 'wang-xiao-man-35-91', 'name': '莫心悦', 'avatar_url': 'https://pic4.zhimg.com/7e0464ef95cc2fe85a2c0b8c68913a81_is.jpg', 'avatar_url_template': 'https://pic4.zhimg.com/7e0464ef95cc2fe85a2c0b8c68913a81_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/wang-xiao-man-35-91', 'user_type': 'people', 'headline': '', 'badge': [], 'gender': 0, 'is_advertiser': False, 'is_privacy': False}"
1425,1425,16,67043884,2015-10-10 01:39:40,1444412380,2015-10-10 01:39:40,1444412380,"如果在广州，看见那些把分类好的垃圾混在一起处理，就可以打电话去举报了。事实上，现在的垃圾车有分开的。
曾经做过一个关于垃圾分类的调查，就以厨余垃圾为例。那些没有进行垃圾分类的人，我发现有一个特点，他们觉得不关自己事，有些老人家还给人一种感觉，反正他就60多岁退休了，还能活多少年？什么可持续发展的关他们什么事？还有一些，我问有没有进行垃圾分类，还直接骂当骂过家。感觉自己这样做很有道理。当时候，我和同学做调查，各种辛酸。而且，我所调查的社区，是一个某大型国企的职工的宿舍。
同在英国，刚进去宿舍，厨房墙上的公告栏除了是说宿舍防火安全的问题，就是说垃圾分类了。
掌握的数据事实不够多，大家辩证思考。",0,0,"{'type': 'question', 'id': 28997957, 'title': '为什么垃圾分类投放在中国进行得不如日本等国家好？', 'question_type': 'normal', 'created': 1427163044, 'updated_time': 1446433172, 'url': 'https://www.zhihu.com/question/28997957', 'relationship': {}}","{'id': '6347b3b7ca30289a4c51b6394296d9b4', 'url_token': 'zhen-zhen-82-12-20', 'name': '臻臻', 'avatar_url': 'https://pic1.zhimg.com/dbacc071e7f4bcd52ecb93d2a10186df_is.jpg', 'avatar_url_template': 'https://pic1.zhimg.com/dbacc071e7f4bcd52ecb93d2a10186df_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/zhen-zhen-82-12-20', 'user_type': 'people', 'headline': '', 'badge': [], 'gender': -1, 'is_advertiser': False, 'is_privacy': False}"
1430,1430,1,66916577,2015-10-09 09:56:16,1444355776,2015-10-09 09:56:16,1444355776,学校收垃圾的，也没见分类呀。不管什么。。可回收的，不可回收的，一股脑全倒垃圾车里。。,0,0,"{'type': 'question', 'id': 28997957, 'title': '为什么垃圾分类投放在中国进行得不如日本等国家好？', 'question_type': 'normal', 'created': 1427163044, 'updated_time': 1446433172, 'url': 'https://www.zhihu.com/question/28997957', 'relationship': {}}","{'id': '0ccbc14667ff722704ee0dec7d4f1b48', 'url_token': 'huang-hui-83-88', 'name': '这少年眼高手不低', 'avatar_url': 'https://pic1.zhimg.com/fe76f24bc499f23a623648fdb1b33ce1_is.jpg', 'avatar_url_template': 'https://pic1.zhimg.com/fe76f24bc499f23a623648fdb1b33ce1_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/huang-hui-83-88', 'user_type': 'people', 'headline': '初学者', 'badge': [], 'gender': 1, 'is_advertiser': False, 'is_privacy': False}"
1442,1442,13,66609267,2015-10-07 04:47:07,1444164427,2015-10-07 04:47:07,1444164427,"以下亲眼所见

清洁工把所有垃圾箱装进同一辆垃圾车，别说车内有分类，那种倒法你懂的…",0,0,"{'type': 'question', 'id': 28997957, 'title': '为什么垃圾分类投放在中国进行得不如日本等国家好？', 'question_type': 'normal', 'created': 1427163044, 'updated_time': 1446433172, 'url': 'https://www.zhihu.com/question/28997957', 'relationship': {}}","{'id': '680ac4fc8487968ac747277d01c6e302', 'url_token': 'a-bu-ji-re-26', 'name': '啊吥叽喏', 'avatar_url': 'https://pic2.zhimg.com/b8c90cf26f9b685c60943e1f2c62bf5d_is.jpg', 'avatar_url_template': 'https://pic2.zhimg.com/b8c90cf26f9b685c60943e1f2c62bf5d_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/a-bu-ji-re-26', 'user_type': 'people', 'headline': '', 'badge': [], 'gender': 1, 'is_advertiser': False, 'is_privacy': False}"
1444,1444,15,66574897,2015-10-06 22:31:24,1444141884,2015-10-06 22:31:24,1444141884,"垃圾分类了扔，然后垃圾车来的时候又混在一起。。。有意义？？？
虽然自己有分类的扔，一定会分类，强迫症，但看见后来不分类真的好生气。",0,0,"{'type': 'question', 'id': 28997957, 'title': '为什么垃圾分类投放在中国进行得不如日本等国家好？', 'question_type': 'normal', 'created': 1427163044, 'updated_time': 1446433172, 'url': 'https://www.zhihu.com/question/28997957', 'relationship': {}}","{'id': 'be71fca18aaf0e4ff8929a49e9fc80f8', 'url_token': 'kir-41', 'name': 'KIR', 'avatar_url': 'https://pic4.zhimg.com/636de858fd8aabadfdef5d956c8369e9_is.jpg', 'avatar_url_template': 'https://pic4.zhimg.com/636de858fd8aabadfdef5d956c8369e9_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/kir-41', 'user_type': 'people', 'headline': '梦想环游世界的大二狗', 'badge': [], 'gender': 0, 'is_advertiser': False, 'is_privacy': False}"
1458,1458,9,66202775,2015-10-04 01:26:22,1443893182,2015-10-04 01:26:22,1443893182,"我倒是环科的本科学生，垃圾分类在中国确实很难进行。首先是观念上的问题，再就是往回收这块投入的人力和资金不够。
垃圾从开始到最后大概有这么几个过程：垃圾车从固定源采集，压实运输到就近的中间处理站（预处理），最后进入垃圾填埋场填埋。
当然有特殊物品：餐厨垃圾和医废等进入特殊的场所处置。
垃圾分类不得不考虑成本的问题，当垃圾填埋需要花费的代价超过或与分类后持平时，咱们的固废处理一定会上一个台阶。",0,0,"{'type': 'question', 'id': 28997957, 'title': '为什么垃圾分类投放在中国进行得不如日本等国家好？', 'question_type': 'normal', 'created': 1427163044, 'updated_time': 1446433172, 'url': 'https://www.zhihu.com/question/28997957', 'relationship': {}}","{'id': 'e7d55b4e6c457e241cce4a7e34e1072c', 'url_token': 'chen-lei-84-69', 'name': '陈磊', 'avatar_url': 'https://pic2.zhimg.com/b05c4c09ad1f0542bed06eb1579a174d_is.jpg', 'avatar_url_template': 'https://pic2.zhimg.com/b05c4c09ad1f0542bed06eb1579a174d_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/chen-lei-84-69', 'user_type': 'people', 'headline': '', 'badge': [], 'gender': -1, 'is_advertiser': False, 'is_privacy': False}"
1462,1462,13,66093508,2015-10-03 03:24:09,1443813849,2015-10-03 03:24:09,1443813849,经常亲眼看见环卫工人把两个垃圾箱里的袋子不加区分的扔进一个垃圾车（三轮）后，我就再也不相信爱情了。,0,0,"{'type': 'question', 'id': 28997957, 'title': '为什么垃圾分类投放在中国进行得不如日本等国家好？', 'question_type': 'normal', 'created': 1427163044, 'updated_time': 1446433172, 'url': 'https://www.zhihu.com/question/28997957', 'relationship': {}}","{'id': '0b9ca17246b64f64e47c7b573f06f9a9', 'url_token': 'yiyuan-yuanzhang41', 'name': '神人无功', 'avatar_url': 'https://pic3.zhimg.com/a838ceb3c3d4bc356fa9124af2dfd42e_is.jpg', 'avatar_url_template': 'https://pic3.zhimg.com/a838ceb3c3d4bc356fa9124af2dfd42e_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/yiyuan-yuanzhang41', 'user_type': 'people', 'headline': '科学家', 'badge': [], 'gender': 1, 'is_advertiser': False, 'is_privacy': False}"
1471,1471,2,65947628,2015-10-01 21:46:07,1443707167,2015-10-01 21:46:07,1443707167,"垃圾分类是系统工程，我国各大城市当成局部小事或者面子工程。
要么设置分类，不辅导民众，大家源头不会分类。
要么设置分类，大家分开丢弃垃圾，结果垃圾车来一锅端，白忙。
所以，没有从上到下的垂直的体系，都是浮云。",0,0,"{'type': 'question', 'id': 28997957, 'title': '为什么垃圾分类投放在中国进行得不如日本等国家好？', 'question_type': 'normal', 'created': 1427163044, 'updated_time': 1446433172, 'url': 'https://www.zhihu.com/question/28997957', 'relationship': {}}","{'id': '5b2e9428bbd506a41a443d1589f96ca2', 'url_token': 'bai-yu-mi-de-xiao-hei-xiong', 'name': '掰玉米的小黑熊', 'avatar_url': 'https://pic3.zhimg.com/v2-23f3a9b9531a75d4d5de5b2388acd56b_is.jpg', 'avatar_url_template': 'https://pic3.zhimg.com/v2-23f3a9b9531a75d4d5de5b2388acd56b_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/bai-yu-mi-de-xiao-hei-xiong', 'user_type': 'people', 'headline': '低调是一种美德', 'badge': [], 'gender': 1, 'is_advertiser': False, 'is_privacy': False}"
1481,1481,12,65730825,2015-09-30 05:39:05,1443562745,2015-09-30 05:39:05,1443562745,前段时间家乡评选“文明城市”，大街小巷的垃圾桶全换成了分类垃圾桶，然后高潮来了，小伙伴亲眼看见清早垃圾车来收垃圾时，把几个不同类型的垃圾桶里的垃圾一股脑儿地倒到车上扬长而去……,0,2,"{'type': 'question', 'id': 28997957, 'title': '为什么垃圾分类投放在中国进行得不如日本等国家好？', 'question_type': 'normal', 'created': 1427163044, 'updated_time': 1446433172, 'url': 'https://www.zhihu.com/question/28997957', 'relationship': {}}","{'id': '439bb49306b64b6cf46deb274d6e3c6c', 'url_token': 'kongxiaohui594', 'name': '永远对小姐', 'avatar_url': 'https://pic2.zhimg.com/8327eb123797aeebb5651c63230564dd_is.jpg', 'avatar_url_template': 'https://pic2.zhimg.com/8327eb123797aeebb5651c63230564dd_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/kongxiaohui594', 'user_type': 'people', 'headline': 'Ms. ALWAYS Right!', 'badge': [], 'gender': 0, 'is_advertiser': False, 'is_privacy': False}"
1482,1482,13,65728737,2015-09-30 03:22:12,1443554532,2015-09-30 03:22:12,1443554532,别逗了，姐姐刚把分类好的垃圾，扔到不同的桶里。。。身后的垃圾车就把他们合并倒进了一个斗内。。。然并卵啊～～,0,0,"{'type': 'question', 'id': 28997957, 'title': '为什么垃圾分类投放在中国进行得不如日本等国家好？', 'question_type': 'normal', 'created': 1427163044, 'updated_time': 1446433172, 'url': 'https://www.zhihu.com/question/28997957', 'relationship': {}}","{'id': '0', 'url_token': '', 'name': '匿名用户', 'avatar_url': 'https://pic1.zhimg.com/aadd7b895_is.jpg', 'avatar_url_template': 'https://pic1.zhimg.com/aadd7b895_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/', 'user_type': 'people', 'headline': '', 'badge': [], 'gender': 1, 'is_advertiser': False, 'follower_count': 0, 'is_following': False, 'is_followed': False, 'is_celebrity': False, 'is_blocking': False, 'is_blocked': False, 'is_privacy': False}"
1488,1488,19,65415099,2015-09-27 20:39:43,1443357583,2015-09-27 20:39:43,1443357583,即使你在家整理好垃圾，出门按可回收和不可回收分类放进两个垃圾箱，收垃圾的人过来顺手就倒进了同一个垃圾车里的同一个斗里，就是如此潇洒飘逸。,0,0,"{'type': 'question', 'id': 28997957, 'title': '为什么垃圾分类投放在中国进行得不如日本等国家好？', 'question_type': 'normal', 'created': 1427163044, 'updated_time': 1446433172, 'url': 'https://www.zhihu.com/question/28997957', 'relationship': {}}","{'id': '57bd7b59f2a9365f0dbbf02309d4261e', 'url_token': 'zhang-yong-fei-4', 'name': 'Cherry Z', 'avatar_url': 'https://pic4.zhimg.com/da8e974dc_is.jpg', 'avatar_url_template': 'https://pic4.zhimg.com/da8e974dc_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/zhang-yong-fei-4', 'user_type': 'people', 'headline': '', 'badge': [], 'gender': 1, 'is_advertiser': False, 'is_privacy': False}"
1489,1489,0,65386977,2015-09-27 15:25:29,1443338729,2015-09-27 15:25:29,1443338729,我所在的小区垃圾分类基本是把厨余垃圾和其它垃圾分开，厨余垃圾直接垃圾车收走了，其它垃圾似乎经过收垃圾人的挑拣，能回收（卖钱）的单独拿出了，其它再扔掉。感觉比不分类还是进了一步。现在国内也只能做到这一步了。有那些收垃圾人的存在（拾荒者？垃圾王？）使得垃圾有了人工分类，倒垃圾者的分类减少了他们的劳动，仅此而已。,0,0,"{'type': 'question', 'id': 28997957, 'title': '为什么垃圾分类投放在中国进行得不如日本等国家好？', 'question_type': 'normal', 'created': 1427163044, 'updated_time': 1446433172, 'url': 'https://www.zhihu.com/question/28997957', 'relationship': {}}","{'id': 'ff141561af7dd34a9e4d7ec9958d338e', 'url_token': 'guo-xiao-hui-36-99', 'name': '郭晓晖', 'avatar_url': 'https://pic4.zhimg.com/da8e974dc_is.jpg', 'avatar_url_template': 'https://pic4.zhimg.com/da8e974dc_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/guo-xiao-hui-36-99', 'user_type': 'people', 'headline': '', 'badge': [], 'gender': -1, 'is_advertiser': False, 'is_privacy': False}"
1509,1509,0,64613707,2015-09-21 19:51:13,1442836273,2015-09-21 19:51:13,1442836273,我来告诉你为啥搞不下去。我在北京，开始每次都按照分类扔垃圾。终于有一天，看到了垃圾车来清理垃圾，把三个分类垃圾桶一个个倒进车斗里，大杂烩，一窝端。于是，以后我再也不分类扔了。,0,0,"{'type': 'question', 'id': 28997957, 'title': '为什么垃圾分类投放在中国进行得不如日本等国家好？', 'question_type': 'normal', 'created': 1427163044, 'updated_time': 1446433172, 'url': 'https://www.zhihu.com/question/28997957', 'relationship': {}}","{'id': 'f8004cdbb297fc26aa02faea768341f2', 'url_token': 'zhou-xing-xing-84-9', 'name': '粥喝了', 'avatar_url': 'https://pic3.zhimg.com/v2-5bba9ee5f2a98d1bd096bbcbe6f42c56_is.jpg', 'avatar_url_template': 'https://pic3.zhimg.com/v2-5bba9ee5f2a98d1bd096bbcbe6f42c56_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/zhou-xing-xing-84-9', 'user_type': 'people', 'headline': '影视民工', 'badge': [], 'gender': 1, 'is_advertiser': False, 'is_privacy': False}"
1529,1529,0,63935196,2015-09-16 22:09:22,1442412562,2015-09-16 22:09:22,1442412562,我仔细认真的分为了可回收与不可回收，可是垃圾车来了，一股脑儿的全部掺合一起，一车给拉走了。,0,0,"{'type': 'question', 'id': 28997957, 'title': '为什么垃圾分类投放在中国进行得不如日本等国家好？', 'question_type': 'normal', 'created': 1427163044, 'updated_time': 1446433172, 'url': 'https://www.zhihu.com/question/28997957', 'relationship': {}}","{'id': 'a9a6bd90b33a7485c40255ac041f6425', 'url_token': 'gong-zi-yu-91', 'name': '公子', 'avatar_url': 'https://pic2.zhimg.com/3eaad693c5c06e216d2620eef96792af_is.jpg', 'avatar_url_template': 'https://pic2.zhimg.com/3eaad693c5c06e216d2620eef96792af_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/gong-zi-yu-91', 'user_type': 'people', 'headline': '一網情深深幾許', 'badge': [], 'gender': 1, 'is_advertiser': False, 'is_privacy': False}"
1534,1534,5,63696822,2015-09-15 10:10:09,1442283009,2015-09-15 10:10:09,1442283009,我所在城市的垃圾桶是分可回收和不可回收的的，但是收垃圾时，两个分类的桶倒在同一个垃圾车里,8,4,"{'type': 'question', 'id': 28997957, 'title': '为什么垃圾分类投放在中国进行得不如日本等国家好？', 'question_type': 'normal', 'created': 1427163044, 'updated_time': 1446433172, 'url': 'https://www.zhihu.com/question/28997957', 'relationship': {}}","{'id': '23407c2e782818015109ef424172cddd', 'url_token': 'liuxiaojesse', 'name': '小布衫', 'avatar_url': 'https://pic2.zhimg.com/7428f8b67_is.jpg', 'avatar_url_template': 'https://pic2.zhimg.com/7428f8b67_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/liuxiaojesse', 'user_type': 'people', 'headline': '一名iOS开发者', 'badge': [], 'gender': 1, 'is_advertiser': False, 'is_privacy': False}"
1536,1536,7,63644659,2015-09-14 21:31:58,1442237518,2015-09-14 21:31:58,1442237518,"这个问题我以亲身经历回答！

坐标北京。

零二年，我家搬入一新小区，楼下一排垃圾桶都是分为不同颜色的，而且上面印有清晰的白色大字，如“厨余”、“可回收”“其他”等。我上大学时就比较热衷听绿色、生态、环保一类的讲座，所以发现新小区有这个垃圾分类特别兴奋，天天叮嘱并监督我妈做好分类工作，然后每天我亲自带着几个垃圾袋下楼扔垃圾，确保准确无误地扔到每个垃圾桶内。

这样做了几个月之后的一天早上，正好碰上环卫车清垃圾。我就想着，既然垃圾桶分类了那么垃圾车内部运行方式也变样了吧，肯定会不同垃圾倒入不同的装运容器内再拉走。结果，一看，你妹的，和以前的倾倒方式是一样一样一样的啊！就是所有桶内垃圾都混着倒入车里，这分不分类有个毛用啊！

我当时真是失望至极、欲哭无泪，要知道在家里分类装好各项垃圾其实不容易的，自己能做到不见得别人也会像你一样认真执行分类，你妹的我每次都打开垃圾袋查啊，看到不对的还拿出来重放呢，也就厕所纸篓能让我省点心。结果你个政府部门这样搞…

从那天开始，我家垃圾再也不分类了，我再也不管了……",0,0,"{'type': 'question', 'id': 28997957, 'title': '为什么垃圾分类投放在中国进行得不如日本等国家好？', 'question_type': 'normal', 'created': 1427163044, 'updated_time': 1446433172, 'url': 'https://www.zhihu.com/question/28997957', 'relationship': {}}","{'id': '75c3a751938f0d0043dd382bd424fd3f', 'url_token': 'ada-wang-36-26', 'name': 'ada wang', 'avatar_url': 'https://pic2.zhimg.com/4b5de2d044654492d06c3119b3a22bd4_is.jpg', 'avatar_url_template': 'https://pic2.zhimg.com/4b5de2d044654492d06c3119b3a22bd4_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/ada-wang-36-26', 'user_type': 'people', 'headline': '以前的知乎不是这个样子的，好怀念', 'badge': [], 'gender': 0, 'is_advertiser': False, 'is_privacy': True}"
1540,1540,11,63555506,2015-09-14 10:02:54,1442196174,2015-09-14 10:02:54,1442196174,看看垃圾车就知道了，我见过不少分类回收的垃圾桶，但是从没见过分类装载的垃圾车,0,0,"{'type': 'question', 'id': 28997957, 'title': '为什么垃圾分类投放在中国进行得不如日本等国家好？', 'question_type': 'normal', 'created': 1427163044, 'updated_time': 1446433172, 'url': 'https://www.zhihu.com/question/28997957', 'relationship': {}}","{'id': '4958c959bbb032fdf70d28c5db47e09d', 'url_token': 'meng-sousou', 'name': '孟sousou', 'avatar_url': 'https://pic4.zhimg.com/6738f128c717c07c9ae01c5144c24751_is.jpg', 'avatar_url_template': 'https://pic4.zhimg.com/6738f128c717c07c9ae01c5144c24751_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/meng-sousou', 'user_type': 'people', 'headline': '不靠谱的医疗工作者', 'badge': [], 'gender': 1, 'is_advertiser': False, 'is_privacy': False}"
1552,1552,3,63286264,2015-09-11 22:26:49,1441981609,2015-09-11 22:26:49,1441981609,因为光有分类垃圾箱是不够的，比如你见过多少垃圾车是可以分类的。,0,0,"{'type': 'question', 'id': 28997957, 'title': '为什么垃圾分类投放在中国进行得不如日本等国家好？', 'question_type': 'normal', 'created': 1427163044, 'updated_time': 1446433172, 'url': 'https://www.zhihu.com/question/28997957', 'relationship': {}}","{'id': '9d4530a1c9e4a62767e10fbc99e25457', 'url_token': 'zhang-san-84-18-46', 'name': '张三', 'avatar_url': 'https://pic4.zhimg.com/da8e974dc_is.jpg', 'avatar_url_template': 'https://pic4.zhimg.com/da8e974dc_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/zhang-san-84-18-46', 'user_type': 'people', 'headline': '电影爱好者', 'badge': [], 'gender': -1, 'is_advertiser': False, 'is_privacy': False}"
1568,1568,19,62754156,2015-09-08 01:36:34,1441647394,2015-09-08 01:36:34,1441647394,"这个问题的真的涉及到很多方面。整个国家人民的素质，教育水平，经济水平，还有社会服务部门的管理等等。
最最重要的其实是教育，教育部应该在各个学校普及垃圾分类的知识。让年青人从小就有这个意识。在欧洲家家户户垃圾自动分类，日常厨余，塑料，玻璃瓶子，报刊杂志，二手衣物，全都要扔到指定的垃圾桶去。住独立房子的居民会把自家的垃圾桶按时放在家门口，每周定时会有垃圾车来把垃圾收走。住公寓的一般地下停车场会有垃圾室。
一想起这个问题，我就想起国内那些靠捡垃圾生活的人们，生活之不易，对于他们，如果垃圾分类了，他们还怎么生存。我们觉得不够文明的社会现象，对于他们，却是生存的依赖。

所以，还是提高经济和教育水平吧",0,0,"{'type': 'question', 'id': 28997957, 'title': '为什么垃圾分类投放在中国进行得不如日本等国家好？', 'question_type': 'normal', 'created': 1427163044, 'updated_time': 1446433172, 'url': 'https://www.zhihu.com/question/28997957', 'relationship': {}}","{'id': '431597e77229f6d75f8fe0f32600baa0', 'url_token': 'dadudu-france', 'name': '大肚肚', 'avatar_url': 'https://pic2.zhimg.com/c3fd18fd1776198893dc8f99b5f4aa9b_is.jpg', 'avatar_url_template': 'https://pic2.zhimg.com/c3fd18fd1776198893dc8f99b5f4aa9b_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/dadudu-france', 'user_type': 'people', 'headline': '', 'badge': [], 'gender': 0, 'is_advertiser': False, 'is_privacy': True}"
1611,1611,2,61694610,2015-08-31 21:07:59,1441026479,2015-08-31 21:07:59,1441026479,应该逐渐取消大垃圾桶。比如每天固定时间收垃圾的工人去小区楼下收，大家都把垃圾提下来，不分类的不给收走。一段时间自然会好。还是先从相关环保单位严格施行一些制度再来要求人民群众。不然像很多人说的，分好类之后垃圾车全都混合倒走了还有什么意义？,0,0,"{'type': 'question', 'id': 28997957, 'title': '为什么垃圾分类投放在中国进行得不如日本等国家好？', 'question_type': 'normal', 'created': 1427163044, 'updated_time': 1446433172, 'url': 'https://www.zhihu.com/question/28997957', 'relationship': {}}","{'id': '23bb34d67fa317098a8a0996c39dbc16', 'url_token': 'ru-guo-wo-zai-kan-ni-yiyan-32', 'name': '如果我再看你一眼', 'avatar_url': 'https://pic1.zhimg.com/b09f15f0e410a3bc7af1bd9f781a2a7d_is.jpg', 'avatar_url_template': 'https://pic1.zhimg.com/b09f15f0e410a3bc7af1bd9f781a2a7d_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/ru-guo-wo-zai-kan-ni-yiyan-32', 'user_type': 'people', 'headline': '', 'badge': [], 'gender': -1, 'is_advertiser': False, 'is_privacy': False}"
1624,1624,15,61333928,2015-08-29 09:24:53,1440811493,2015-08-29 09:24:53,1440811493,小区里新增了四个垃圾筒，有给大家做宣传教育，倡导大家垃圾分类，爱护环境。大家也热情高涨，积极响应，学习如何进行垃圾分类处理。直到有一天，来了一辆垃圾车，把四个垃圾桶的垃圾全倒了进入，然后开走了~,0,0,"{'type': 'question', 'id': 28997957, 'title': '为什么垃圾分类投放在中国进行得不如日本等国家好？', 'question_type': 'normal', 'created': 1427163044, 'updated_time': 1446433172, 'url': 'https://www.zhihu.com/question/28997957', 'relationship': {}}","{'id': 'c6e88cad65696aa6c02ab9a97acbfe68', 'url_token': 'chen-zhi-hu-65-13', 'name': '论狗的自我修养', 'avatar_url': 'https://pic1.zhimg.com/v2-344eac32aeac5d73a92ac692c80064a9_is.jpg', 'avatar_url_template': 'https://pic1.zhimg.com/v2-344eac32aeac5d73a92ac692c80064a9_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/chen-zhi-hu-65-13', 'user_type': 'people', 'headline': '你爱听的歌，代表了你的生活。', 'badge': [], 'gender': 1, 'is_advertiser': False, 'is_privacy': True}"
1641,1641,12,60763982,2015-08-25 17:39:02,1440495542,2015-08-25 17:39:02,1440495542,垃圾分类之前，首先要有垃圾桶。很多地方连垃圾桶都没有，垃圾都随便扔了。怎么分类呢？我好不容易分类好了，垃圾车来了直接扔一起拉走了，分类有什么用呢？,0,0,"{'type': 'question', 'id': 28997957, 'title': '为什么垃圾分类投放在中国进行得不如日本等国家好？', 'question_type': 'normal', 'created': 1427163044, 'updated_time': 1446433172, 'url': 'https://www.zhihu.com/question/28997957', 'relationship': {}}","{'id': '526af989a723345e5d595d07609b1508', 'url_token': 'qiehinet', 'name': '茄盒', 'avatar_url': 'https://pic1.zhimg.com/7bec3fa6cb6e561654b713d358d25e43_is.jpg', 'avatar_url_template': 'https://pic1.zhimg.com/7bec3fa6cb6e561654b713d358d25e43_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/qiehinet', 'user_type': 'people', 'headline': 'Php初学者 努力中', 'badge': [], 'gender': 1, 'is_advertiser': False, 'is_privacy': False}"
1668,1668,19,59969424,2015-08-19 23:10:15,1439997015,2015-08-19 23:10:15,1439997015,收垃圾的就一个垃圾车一次性收所有垃圾桶的垃圾,0,0,"{'type': 'question', 'id': 28997957, 'title': '为什么垃圾分类投放在中国进行得不如日本等国家好？', 'question_type': 'normal', 'created': 1427163044, 'updated_time': 1446433172, 'url': 'https://www.zhihu.com/question/28997957', 'relationship': {}}","{'id': 'd46f164ef29a0fd6a64b2e4dd61c74e5', 'url_token': 'babe-94', 'name': 'Babe', 'avatar_url': 'https://pic2.zhimg.com/d60ba8935560ff447492754ad27d0909_is.jpg', 'avatar_url_template': 'https://pic2.zhimg.com/d60ba8935560ff447492754ad27d0909_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/babe-94', 'user_type': 'people', 'headline': '这个人很机智，什么都没有留下！', 'badge': [], 'gender': -1, 'is_advertiser': False, 'is_privacy': False}"
